review_id,puskesmas_id,puskesmas_name,wilayah,rating,stratum,review_text
PKM_SMG_037_R0100_3fd45573,PKM_SMG_037,Karanganyar,Semarang,2,Semarang | sedang | 2★,"pelayanan tidak ramah, saya sarankan harus tetap senyum kepada pasien,tp ini judes banget. Yang duduk di dekat timbangan, menghadap ke pintu poli umum"
PKM_BTL_002_R0554_2a510c6c,PKM_BTL_002,Banguntapan 1,Bantul,2,Bantul | panjang | 2★,"Bagian Poli batuk pelayanan nya kurang teliti, nunggu periksa dari pendaftaran sampai dapat obat hampir 3 jam , capek2 nunggu di selang terus sama yg baru datang . (Padahal yg baru datang juga gak daftar online) sama2 pasien offline"
PKM_BTL_013_R1339_f9b8b066,PKM_BTL_013,Kasihan 1,Bantul,1,Bantul | sedang | 1★,"Kecewa dengan pelayanannya,, disuruh nunggu agak lama ,mau minta surat dokter aja gak dikasih,alasannya gak ada dokternya pdahal jelas sakit"
PKM_SBY_009_R0436_ae8b8b18,PKM_SBY_009,Jemursari,Surabaya,2,Surabaya | pendek | 2★,Pelayanan sangat buruk
PKM_SBY_003_R0226_6ae58665,PKM_SBY_003,Banyu  Urip,Surabaya,1,Surabaya | panjang | 1★,"Di bagian KIA itu parah,,,perawat /berseragam resmi,,,ngomong aja,,,gk tanggap terhadap pasien,,,,,seakan ''mereka gk butuh pasien,,,,,,Tp yg butuh pasiennya, tambah yg lbh tanggap yg beseragam biasa,,tolong lebih  di perbaiki kinerjannya,,,biar pasien tertolong bukan di biarkan saja"
PKM_SBY_058_R0503_0177b7a1,PKM_SBY_058,Tambakrejo,Surabaya,1,Surabaya | panjang | 1★,"saya bertemu orang yang sakit batuk dan dadanya sakit udah sebulan minta surat rujukan tidak dikasih, cuma di kasih obat 1 macam obat kunyah antasida doen padahal mama saya yang sakit maag diberi obat tersebut katanya untuk maag. Mohon pemerintah memperhatikan pelayanan kesehatan masyarakat, baik yang menggunakan bpjs maupun yang tidak."
PKM_SMG_015_R0517_b3133a1f,PKM_SMG_015,Krobokan,Semarang,2,Semarang | panjang | 2★,"Pelayanan kurang baik, komunikasi perawat dan dokter terhadap pasien tidak ramah sama sekali.
Saran: sebaiknya komunikasi kepada pasien lebih di ramahkan ,karna pasien yang sedang sakit apabila dilayani dengan baik akan membuat pasien nyaman. Semoga kritik saran ini menjadi masukan ya... Stay safe and stay healthy"
PKM_SBY_009_R0442_eee0d7b0,PKM_SBY_009,Jemursari,Surabaya,1,Surabaya | sedang | 1★,Mohon di perhatikan lagi jika memang sedang ada maintanance atau perbaikan gedung puskesmas lebih baik tutup dari pada tetap mengusahakan pelayanan tapi tidak ada kenyamanan
PKM_SBY_050_R0439_5c0454c6,PKM_SBY_050,Perak Timur,Surabaya,1,Surabaya | sedang | 1★,Pelayanan sangat buruk. Padahal daftar online dari jam 6. Berangkat jam 7 sampai setengah 10 belum di panggil ! Tolong segera di benahi
PKM_BTL_004_R0681_b1a1b0fb,PKM_BTL_004,Banguntapan 3,Bantul,2,Bantul | sedang | 2★,Pelayanan lambat sekali entah masih manual atau gimana sistemnya..mohon diperbaiki demi kebaikan bersama dalam melayani masyarakat 🙏
PKM_SMG_007_R0043_debea338,PKM_SMG_007,Genuk,Semarang,2,Semarang | panjang | 2★,"waktu itu saya daftar buat preksa, nama nya jg orang sakit kan ya lemes gitu, ga kuat berdiri lama, nah setelah saya kasi ktp saya duduk, karna saya lemes, dan saya waktu itu salah denger, eh gtau nya sana mala pake nada agak tinggi huhu sedih.
dan epic nya, setelah pulang dari puskesmas saya pingsan dan muntah di jalan, dan di larikan ke nayaka, untuk mendapat pertolongan pertama, yaitu uap dan suntikan, kata di puskesmas baik"" aja cm butuh istirahat dan minum yang banyak
semoga kalo kesana lagi ga dapet prilaku yang sama ya, iya tau ko gratis🙏🙏🙏🙏🙏🙏🙏🙏"
PKM_SBY_028_R0264_a3f1cb2e,PKM_SBY_028,Wonokromo,Surabaya,1,Surabaya | sedang | 1★,"pelayanan buruk, antri terlalu lama, mba mba nya banyak yang gasopan, sinis klo jawab dan ga ramah, orang klo ga denger kepanggil teriak"" dari dalam terkesan ga sopan sekali"
