review_id,puskesmas_name,wilayah,rating,chunk_text,dimension,polarity,sub_issue,quote
PKM_BTL_013_R1279_3eaa3c55,Kasihan 1,Bantul,1,"Tolong dipecat saja itu bidan diruang jaga kia yang badanya berisi pakai kaca mata, kalau ngasih tau pasien itu harus sabar jangan ngebentak ga usah ngegas, kecewa banget sama puskesmas ini karna oknum bidan itu",Empathy,neg,bidan kasar membentak,kalau ngasih tau pasien itu harus sabar jangan ngebentak ga usah ngegas
PKM_BTL_013_R1279_3eaa3c55,Kasihan 1,Bantul,1,"Tolong dipecat saja itu bidan diruang jaga kia yang badanya berisi pakai kaca mata, kalau ngasih tau pasien itu harus sabar jangan ngebentak ga usah ngegas, kecewa banget sama puskesmas ini karna oknum bidan itu",Empathy,neg,sikap bidan tidak ramah,kecewa banget sama puskesmas ini karna oknum bidan itu
PKM_BTL_006_R0231_898ea512,Bantul 2,Bantul,1,Amatir dan ragu2. Cari nadinya nda bener. Untuk pengembilan sampel lab darah masa ada yang model pake darah jari. Nda rekomend. Nda ramah. Nda komunikatif. Buat evaluasi. Memalukan,Assurance,neg,petugas amatir,Amatir dan ragu2. Cari nadinya nda bener.
PKM_BTL_006_R0231_898ea512,Bantul 2,Bantul,1,Amatir dan ragu2. Cari nadinya nda bener. Untuk pengembilan sampel lab darah masa ada yang model pake darah jari. Nda rekomend. Nda ramah. Nda komunikatif. Buat evaluasi. Memalukan,Reliability,neg,metode pengambilan sampel,Untuk pengambilan sampel lab darah masa ada yang model pake darah jari. Nda rekomend.
PKM_BTL_006_R0231_898ea512,Bantul 2,Bantul,1,Amatir dan ragu2. Cari nadinya nda bener. Untuk pengembilan sampel lab darah masa ada yang model pake darah jari. Nda rekomend. Nda ramah. Nda komunikatif. Buat evaluasi. Memalukan,Empathy,neg,petugas tidak ramah,Nda ramah. Nda komunikatif.
PKM_BTL_015_R0110_c73ec0bf,Kretek,Bantul,1,Pelayanan sangat maksimal,Responsiveness,pos,pelayanan cepat dan maksimal,Pelayanan sangat maksimal
PKM_BTL_024_R0148_cb475268,Sedayu 2,Bantul,1,"ppkm udh selesai , apasih alasan puskesmas ini tiap jmat masih ttup 10 pagi? dikomplain tp disaranin dtng pagi dan antrinyaa lama, ini Dinkes ga ad evaluasi lagi ya thd instansi pelayanan kesehatan? anak sekolahan aja jm segini belum bubar pdhl
Hadeeh",Reliability,neg,jam buka tidak konsisten,apasih alasan puskesmas ini tiap jmat masih ttup 10 pagi? dikomplain tp disaranin dtng pagi
PKM_BTL_024_R0148_cb475268,Sedayu 2,Bantul,1,"ppkm udh selesai , apasih alasan puskesmas ini tiap jmat masih ttup 10 pagi? dikomplain tp disaranin dtng pagi dan antrinyaa lama, ini Dinkes ga ad evaluasi lagi ya thd instansi pelayanan kesehatan? anak sekolahan aja jm segini belum bubar pdhl
Hadeeh",Responsiveness,neg,antre lama,disaranin dtng pagi dan antrinyaa lama
PKM_BTL_025_R1019_0613c6d2,Sewon 1,Bantul,1,"Tadi sore berniat untuk berobat di tempat ini, karena badan sudah rasanya gak karuan, mulai lah diperiksa dan katanya suhu normal tapi kenyataannya badannya gak enak banget, disela"" pemeriksaan saya bertanya kepada mungkin itu perawatnya , IBU APAKAH BISA BUAT SURAT IZIN KETERANGAN SEHAT, KLO BISA TOLONG DIBUATKAN TPI KALAU TIDAK JUGA GPP, karena badan sudah gak memungkinkan buat kerja dan dia menjawab : aduh mungkin riskan klo buat surat izin soalnya suhu badan masih normal, coba nanti saya tanyakan kedokternya . Dokter keluar dan disitu menurut saya kata""nya kurang pantas ,dia bilang: kenapa mas , ini suhu badannya masih normal jadi gak bisa buat surat, JANGAN PURA"" SAKIT NNTI SAKIT BENARAN , MAKANYA PERUSAHAAN CARI PEGAWAI DARI LUAR NEGERI, ORANG"" NYA AJA SEPERTI INI. Dan saya mulai emosi , saya kesini niat pertama saya untuk berobat, bukan hanya cari surat keterangan sehat, misal mau bikin surat izin trus dikira mau bolos kerja?? Kan saya sudah bilang : KLO BISA TOLONG DIBUATKAN KLO TIDAK JUGA GPP. Tolong pelayanannya diperbaiki, prioritaskan pasien.",Assurance,neg,diagnosis tidak akurat,diperiksa dan katanya suhu normal tapi kenyataannya badannya gak enak banget
PKM_BTL_025_R1019_0613c6d2,Sewon 1,Bantul,1,"Tadi sore berniat untuk berobat di tempat ini, karena badan sudah rasanya gak karuan, mulai lah diperiksa dan katanya suhu normal tapi kenyataannya badannya gak enak banget, disela"" pemeriksaan saya bertanya kepada mungkin itu perawatnya , IBU APAKAH BISA BUAT SURAT IZIN KETERANGAN SEHAT, KLO BISA TOLONG DIBUATKAN TPI KALAU TIDAK JUGA GPP, karena badan sudah gak memungkinkan buat kerja dan dia menjawab : aduh mungkin riskan klo buat surat izin soalnya suhu badan masih normal, coba nanti saya tanyakan kedokternya . Dokter keluar dan disitu menurut saya kata""nya kurang pantas ,dia bilang: kenapa mas , ini suhu badannya masih normal jadi gak bisa buat surat, JANGAN PURA"" SAKIT NNTI SAKIT BENARAN , MAKANYA PERUSAHAAN CARI PEGAWAI DARI LUAR NEGERI, ORANG"" NYA AJA SEPERTI INI. Dan saya mulai emosi , saya kesini niat pertama saya untuk berobat, bukan hanya cari surat keterangan sehat, misal mau bikin surat izin trus dikira mau bolos kerja?? Kan saya sudah bilang : KLO BISA TOLONG DIBUATKAN KLO TIDAK JUGA GPP. Tolong pelayanannya diperbaiki, prioritaskan pasien.",Empathy,neg,cara bicara kasar dokter,"JANGAN PURA"" SAKIT NNTI SAKIT BENARAN, MAKANYA PERUSAHAAN CARI PEGAWAI DARI LUAR NEGERI, ORANG"" NYA AJA SEPERTI INI"
